# People       # Trials         # Positive         Pct      
--------       --------         ----------      ------
       5             30                  1         3.3
      10             30                  3        10.0
      15             30                  8        26.7
      20             30                 11        36.7
      25             30                 16        53.3
      30             30                 19        63.3
      35             30                 26        86.7
      40             30                 28        93.3
      45             30                 30       100.0
      50             30                 28        93.3
      55             30                 30       100.0
      60             30                 30       100.0
      65             30                 30       100.0
      70             30                 30       100.0
      75             30                 30       100.0
      80             30                 30       100.0
      85             30                 30       100.0
      90             30                 30       100.0
      95             30                 30       100.0
     100             30                 30       100.0
